Mesh250m,PeriodKey,mesh_transaction_count,mesh_median_ppsqm,mesh_mean_ppsqm,mesh_price_std,mesh_price_iqr,mesh_avg_age,mesh_avg_area,PeriodNum
53392546,2005-Q3,3,446153.8461538461,543728.2830847186,294852.624070472,282484.4984498449,3.0,3368.0,8022
53392546,2005-Q4,1,550000.0,550000.0,,0.0,2.0,60.0,8023
53392546,2006-Q3,11,950000.0,815609.2392456029,302013.8695165119,480000.0,3.8,39.54545454545455,8026
53392546,2007-Q1,6,557017.5438596491,576573.2805206489,243349.01657538986,365744.8910738384,10.5,190.83333333333334,8028
53392546,2007-Q3,3,600000.0,627777.7777777778,259450.98730745816,258333.33333333337,8.666666666666666,48.333333333333336,8030
53392546,2007-Q4,5,400000.0,504287.7492877493,166963.54169300932,207407.40740740742,10.666666666666666,79.0,8031
53392546,2008-Q1,9,600000.0,592613.4034905965,249559.34930173427,493333.3333333333,12.666666666666666,61.111111111111114,8032
53392546,2008-Q4,6,373333.3333333334,426186.04073522106,289707.131268285,179696.9696969697,16.5,161.66666666666666,8035
53392546,2009-Q1,1,666666.6666666666,666666.6666666666,,0.0,1.0,165.0,8036
53392546,2009-Q2,9,400000.0,445719.45634535933,184260.75704566768,125263.15789473685,19.428571428571427,97.22222222222223,8037
53392546,2009-Q3,11,433333.3333333333,476451.06736015825,191598.35733163467,268371.94337194343,14.555555555555555,211.36363636363637,8038
53392546,2010-Q3,5,438095.2380952381,508265.0103519669,232170.67025382357,257142.85714285716,12.666666666666666,81.0,8042
53392546,2011-Q1,8,583766.2337662338,612355.6998556999,161144.2505315478,164646.46464646456,13.25,53.125,8044
53392546,2011-Q2,5,480000.0,497764.70588235295,180998.00224480103,250000.0,15.6,63.0,8045
53392546,2011-Q3,7,400000.0,458305.545029683,149959.65990644757,200448.717948718,17.4,70.71428571428571,8046
53392546,2012-Q1,4,433333.3333333334,412727.2727272727,88390.70680383027,99393.93939393939,25.5,322.5,8048
53392546,2012-Q3,7,384615.3846153846,356759.81383211806,155682.31063746064,189075.63025210082,27.571428571428573,96.42857142857143,8050
53392546,2013-Q1,18,361538.46153846156,406738.2788510923,138486.6522548982,99289.04428904422,20.571428571428573,114.44444444444444,8052
53392546,2013-Q3,14,530952.380952381,520975.29011934454,242440.60728308166,173863.6363636363,13.363636363636363,120.35714285714286,8054
53392546,2013-Q4,9,507692.3076923077,423397.9600646267,161955.88674610973,195454.5454545454,18.333333333333332,60.0,8055
53392546,2014-Q1,7,454545.45454545453,399231.28078963805,118249.08089371581,177461.46767885896,21.6,185.0,8056
53392546,2014-Q2,11,528571.4285714285,519151.8641786022,96591.43089363723,107683.9826839827,16.0,82.72727272727273,8057
53392546,2015-Q2,5,380000.0,432170.9401709402,191009.99572635608,235555.5555555555,28.5,52.0,8061
53392546,2015-Q3,9,555555.5555555555,628195.2615285949,172272.22092361812,168831.1688311689,12.166666666666666,110.0,8062
53392546,2016-Q4,7,585714.2857142857,569134.8334205477,101497.85699590444,93559.21855921845,16.833333333333332,87.14285714285714,8067
53392546,2017-Q1,8,727777.7777777778,687699.1064491065,206195.46236941707,344842.65734265733,17.714285714285715,68.125,8068
53392546,2018-Q4,13,672000.0,697790.8245600554,291422.7631165585,327272.7272727273,22.545454545454547,51.92307692307692,8075
53392546,2019-Q1,10,794696.9696969697,705502.886002886,319923.0668623417,417460.3174603175,7.875,54.5,8076
53392546,2019-Q2,10,1100000.0,958848.4848484847,238576.73837012617,290779.2207792208,5.3,38.5,8077
53392546,2020-Q1,13,571428.5714285715,589438.6809771425,186824.0258812857,189010.98901098897,22.09090909090909,60.0,8080
53392546,2020-Q2,6,597435.8974358975,549430.1994301995,238005.21032575448,290384.6153846154,15.2,60.0,8081
53392546,2020-Q3,10,680000.0,691329.6703296703,124156.77539586688,166071.42857142852,10.875,69.0,8082
53392546,2022-Q3,11,757142.8571428572,746244.6588030602,238824.52552562332,231661.5067079463,14.2,75.9090909090909,8090
53392546,2023-Q2,12,674175.8241758242,703216.6032166033,241161.58622788673,358100.233100233,21.444444444444443,109.58333333333333,8093
53392546,2023-Q3,6,508333.3333333334,621547.619047619,313143.4418804644,477083.3333333333,27.5,37.5,8094
53392546,2024-Q4,9,848484.8484848485,854135.6791356792,281640.4705597896,511428.57142857136,20.714285714285715,57.77777777777778,8099
53392546,2025-Q1,3,1050000.0,1070000.0,81853.5277187245,80000.0,15.0,53.333333333333336,8100
53392556,2008-Q1,6,595959.5959595959,618772.9331498682,153364.76301295107,208554.292929293,12.0,486.6666666666667,8032
53392556,2008-Q3,8,443956.04395604396,469114.010989011,211100.95817163895,262500.0,16.333333333333332,118.75,8034
53392556,2008-Q4,6,383333.3333333333,443371.2121212121,138884.47536605492,137499.99999999994,17.6,89.16666666666667,8035
53392556,2009-Q1,5,470588.23529411765,489165.26610644255,68201.04884112216,61904.761904761835,13.666666666666666,116.0,8036
53392556,2010-Q4,6,591452.9914529915,573707.7737077737,149688.76739957402,182264.95726495737,5.0,61.666666666666664,8043
53392556,2012-Q1,12,449885.5835240275,401147.4667268373,185811.93729915828,228947.36842105264,19.375,210.83333333333334,8048
53392556,2014-Q3,8,354705.8823529412,416511.8895265954,201424.15118924875,238787.57408169168,22.2,100.0,8058
